0,1,2,3,4,5,6,7,8,9,10,11,12
273.03,310.59,1544.9,89.58,28.688,0,0.244,277.67,2.998,311.17,1.41334,0.926375,0
288.35,325.41,1569.425,85.13,30.188,0,0.244,292.72,2.93,299.25,1.37334,0.975242,0
264.87,316.62,1459.73,91.99,28.946,1,0.224,292.83,2.934,314.33,1.44334,0.887315,0
276.03,319.24,1549.88,88.06,28.756,0,0.244,310.79,2.894,296.04,1.33334,0.950905,0
273.54,296.26,1585.53,89.24,28.656,0,0.234,298.32,2.954,294.53,1.47334,0.9877,0
288.38,326.4,1623.4,91.93,30.324,0,0.244,308.69,2.776,324.73,1.49334,0.932422,0
267.02,317.12,1497.42,87.5,30.514,0,0.234,289.89,3.024,319.88,1.41334,0.906952,0
295.57,297.17,1622.645,88.41,29.914,0,0.244,298.25,2.962,321.07,1.44334,0.9470485,0
292.39,314.05,1609.77,85.0,29.822,0,0.244,282.49,2.848,300.65,1.34334,1.008662,0
265.35,305.91,1618.46,88.52,27.752,0,0.244,305.15,2.9,294.76,1.45334,0.978085,0
279.73,307.43,1517.52,90.85,28.862,1,0.224,309.1,3.054,336.59,1.34334,0.872977,1
293.94,310.15,1465.88,87.03,27.6,1,0.234,307.405,2.804,333.32,1.48334,0.888255,1
294.02,309.22,1506.01,93.31,28.342,0,0.234,295.67,2.854,307.71,1.46334,0.864858,1
274.46,328.11,1536.13,93.72,27.82,1,0.234,319.7,2.852,311.95,1.38334,0.86599,1
282.41,310.6,1589.16,93.41,27.724,0,0.224,290.34,2.772,319.91,1.41334,0.956375,1
266.13,327.83,1609.79,99.4,27.572,2,0.224,300.58,2.876,308.68,1.41334,0.936204,2
291.18,303.93,1623.06,95.85,27.74,0,0.244,283.54,2.902,314.98,1.47834,0.931674,2
291.825,324.74,1642.57,105.21,28.24,2,0.234,288.225,3.054,307.13,1.46334,0.949602,2
282.06,322.92,1480.02,103.87,29.61,2,0.244,285.16,2.982,323.08,1.41334,0.921674,2
268.65,323.13,1653.39,99.72,28.33,2,0.244,284.76,3.054,300.8,1.47334,0.985551,2
285.62,319.74,1691.115,97.78,28.22,2,0.244,283.12,3.13,318.89,1.42334,0.969409,2
276.0,295.58,1620.0,95.27,27.388,2,0.244,310.01,2.822,321.17,1.43334,0.969409,2
